,precision,recall,f1-score,support
ambiguous,0.6701680672268907,0.4711964549483013,0.5533391153512576,677.0
negative,0.7958236658932715,0.5435816164817749,0.6459510357815442,1262.0
neutral,0.6173007246376812,0.7627308337996642,0.6823529411764706,1787.0
positive,0.8614741244119185,0.7832699619771863,0.8205128205128205,2104.0
micro avg,0.7356658728704891,0.6888507718696398,0.7114890601470458,5830.0
macro avg,0.7361916455424404,0.6401947168017317,0.6755389782055232,5830.0
weighted avg,0.7502043225660594,0.6888507718696398,0.709352395967485,5830.0
samples avg,0.736318407960199,0.7070511639334194,0.7160800933603587,5830.0
