,precision,recall,f1-score,support
ambiguous,0.6680672268907563,0.46971935007385524,0.5516045099739809,677.0
negative,0.8059171597633136,0.5396196513470681,0.6464167062173707,1262.0
neutral,0.6215482118605704,0.7683268047006155,0.6871871871871872,1787.0
positive,0.86059670781893,0.7951520912547528,0.8265810276679841,2104.0
micro avg,0.7389477530142492,0.6938250428816467,0.7156758669497523,5830.0
macro avg,0.7390323265833925,0.6432044743440729,0.6779473577616308,5830.0
weighted avg,0.7531305482113572,0.6938250428816467,0.7129235201056001,5830.0
samples avg,0.7393587617468215,0.7112892328481052,0.7198267919660954,5830.0
